OPERACIÓN MÉCANICA,TOP BOY,AGILITY,AGILITY RS,AGILITY CITY 150,BET & WIN,ACTIV,"SPIKE
",AGILITY RS  NAKED  ,SUPER 8,GACELA,CRUCERO             x-town 300,ROCKET,FLY 125,TWIST,JETIX,UNI-K 110,TRACK,PULSAR 135,Perseo,PULSAR,PULSAR 180 UG,PULSAR 150  ,THOR 160,PULSAR 200  ,PULSAR 150 NS ,PULSAR 150 AS,PULSAR 200 AS ,PULSAR 200 NS ,TITAN,PULSAR  RS 200,PULSAR 220,AVENGER 220,XCD ,DISCOVER 100,DISCOVER 135,"
BOXER",LEXUS,DISCOVER 100 5S,DISCOVER 150,CHAMPION,DISCOVER 125 ST,"
BOXER BM 100",BOXER BM 150,BOXER BM 100 ES ,PLATINO 125,PLATINO 125 - 5S,"
 PLATINO 100",PLATINO 110,FAMILLY,"MOTOCARRO
4T",TORITO,"MOTOCARRO
DIESEL"," KAZE
MAX II",ZX 130- MAGIC II,KMX,KLX 150,KLX150  L,KLX 250,NINJA 250,NINJA 250 FI,Z250,Z250 SL,ER-6n,TRANS-SPORT,MRX 150,FURAX,BOMBER 125,BOMBER 250,COMBAT 125,ZS,LIFE,HUNTER,BLACK,VENOM 400,VENOM 250,ONE,FLOW,ADVANCE II LF,ZONTES 155,ZONTES 310M,SHOCK,TNT150i,180S,TNT25N,LEONCINO 500,LEONCINO 250,TRK 500X,TRK 251,302 S
REAJUSTE GENERAL CON EL TORQUE ADECUADO (TORNILLERIA EN GENERAL Y AJUSTE DE RADIOS),1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,0.5,1,1,1,1,0.5,1,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,0.5,1,0.4,0.5,1,1,1,0.5,1,0.5,1,1
MANTENIMIENTO SISTEMA TRANSMISIÓN AUTOMÁTICA (CVT),1,1,1,1,1,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,1.5,,,,,,,,,
LIMPIEZA Y LUBRICACIÓN DEL CLUTCH DE ARRANQUE,1,,,,,0.8,0.8,,,,,,,,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,,,,,,,,0.8,,,0.8,,,0.8,0.8,0.8,0.8,,,,,,,,,2,2,,,,,,,,,,,,,,1,1,1,,1,,,,,,,0.8,0.8,0.8,2,2,0.8,,,,,,,,
TENSION Y LUBRICACION DE CABLES (clutch. choke. acelerador y freno),0.7,0.5,0.5,0.5,0.5,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.7,0.7,0.5,0.5,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.5,0.5,1,1,,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.5,0.4,0.5,0.5,0.5,,,0.5,0.7,0.7,0.7,0.7,0.7,,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
NO APLICA,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0,,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.0,0,0,,0,0,,,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
CABEZA DE FUERZA Y DISTRIBUCIÓN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBIO CULATA,1,2.5,2.5,2.5,3.0,2,2,2.5,2.5,2.5,3.5,2.5,2.5,2.5,2,2,2,2.5,2.5,2,2,2,2,3,2,3.5,3.5,3.2,3.5,3.7,2,2.3,2,2,2,2,2,2.5,2.5,2,2.5,2,2,2,2,2,2,2,2,3,3,,2,2,1,2,2,3.5,3.5,3.5,3.5,3.2,4,2,2,3,2.5,3.7,2.5,2.5,2.5,3.5,3.5,3,3.2,2,2,2,3.5,4,2,3.5,3,3.5,4,3.5,4,3.5,3.5
CAMBIO DE CILINDRO,1.5,2,2,2,2.5,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3.5,3.5,3.2,3.5,3.7,2,2.3,2,2,2,2,2,2,2,2.0,2,2,2,2,2,2,2,2,2,3,3,,2,2,2,2,2,2.7,3.0,3,3.0,2.7,3.5,2,2,3,2.5,3.5,2.5,2,2,3,3,3.5,3.2,2,2,2,3.0,4.5,2,3.0,2.5,3.0,3.5,3.0,3.5,3.0,4
CAMBIO VÁLVULAS (ADMISION Y ESCAPE),,2.0,2.0,2,2.5,1.7,1.7,2.0,2,2,3,2,2.0,2.0,1.7,1.7,1.7,1.9,1.9,1.7,1.7,1.7,1.7,2,1.7,3.1,3.1,2.8,3,3.3,1.7,2,1.7,1.7,1.7,1.7,1.7,1.9,1.9,1.7,1.9,1.7,1.7,1.7,1.7,1.7,2,1.7,1.7,3,3,,2,1.7,,2,2,3,3,3,3,2.7,3.7,2,2,3,2,3.7,2,2,2,3,3,3.8,2.8,1.7,3,1.7,3,3,1.7,3,2.5,3,3.7,3,3.7,3,3
CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,,1.5,1.5,1.5,2.0,1.5,1.5,1.5,1.5,1.5,2.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2,1.5,2.3,2.3,2,2.5,2.5,1.5,1.7,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2.5,2.5,,1.5,1.5,,1.5,1.5,2,2.0,2,2.0,1.7,3,1.5,1.5,3.5,2,1,2,1.5,1.5,2.5,2.5,3.5,2,1.5,1.5,1.5,2.5,3,1.5,2.0,2.0,2.0,3,2.0,3,2.0,2.0
CAMBIO DE BALANCINES SUPERIORES,,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2,1.5,2.3,2.3,2,2.5,2.5,1.5,1.7,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1,1.5,1.5,2,2,,1.5,1.5,,1.5,1.5,,,,,,,1.5,1.5,1.5,2,1,2,1.5,1.5,2,2,3.5,2,1.5,1.5,1.5,2.5,3,1.5,,,,,,,,
CAMBIO CADENILLA DISTRIBUCIÓN,,5,5,5,5,1.5,1.5,5,5,5,5.5,5,5,5,1.5,1.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,3,2.5,2.8,2.8,2.5,3,3,2.5,2.7,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,1.5,2.5,2.5,3,3,,1.5,1.5,,2.5,2.5,3,7,7,7,6.7,9,1.5,2.5,,2.5,1.5,2.5,5,5,5.5,5.5,7.5,2.5,1.5,1.5,1.5,4,5.5,1.5,7,7,7,9,7,10,7,7
CAMBIO PISTÓN Y ANILLOS ,1.5,2,2,2,2.5,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2.5,2,3.5,3.5,3.2,3.7,3.7,2,2.3,2,2,2,2,2,2,2,2.0,2,2,2,2,2,2,2,2,2,3,3,,2,2,2,2,2,3,3,3,3,2.7,3.5,2,2,3,2,3.5,2,2,2,3,3,4.5,3.2,2,2,2,3,3,2,3,2.5,3,3.5,3,3.5,3,3
LIMPIEZA DE KIPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBIO DE O´RING Y/O TAPAS DE VÁLVULAS,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,,,0.3,0.3,0.3,0.3,,,,,,,,0.3,0.3,,,0.3,0.3,,,,0.3,,0.3,,,,,0.3,,,0.3,,,0.3,0.3,,0.3,0.3,0.7,1,,,,1,0.3,,,,0.3,,0.3,0.3,0.4,0.4,2.5,,0.3,0.3,0.3,1,0.4,0.3,,,,,,,,
CAMBIO TAPA PIÑON CADENILLA Y/O EMPAQUE,,,,,,0.5,0.5,,,,,,,,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,0.2,,,,0.2,,0.2,,,,,0.2,,,1,,,0.5,0.5,,0.3,0.3,,,,,,,0.5,,,0.5,0.1,0.5,,,,,2,,0.5,0.5,0.5,,,0.5,,,,,,,,
CAMBIO TAPA  CULATA O CULATIN Y/O EMPAQUE,,1,1,1,1,,,1,1,1,1.5,1,1,1,,0.3,0.3,0.3,0.3,1.5,1.5,1.5,1.5,0.8,0.8,1.1,1.1,0.8,1,1.3,1.5,1.7,0.3,0.3,1.5,,,0.3,0.3,,0.3,,0.3,0.3,0.3,0.3,,0.3,0.3,,0.3,,,,,,,1,1,1,1,0.7,1,,0.5,1.8,0.5,,0.5,1,1,1.5,1.5,1.5,0.8,0.3,,,1.5,2,,1,1,1,1,1,1,1,1
CAMBIO EMPAQUE TAPA CULATA O CULATIN,,1,1,1,1.3,,,1,1,1,1.5,1,1,1,,0.3,0.3,0.3,0.3,1,1,1,1,0.8,0.8,1.1,1.1,0.8,1,1.3,1,1.3,0.3,0.3,1,,,0.3,0.3,,0.3,,0.3,0.3,0.3,0.3,,0.3,0.3,,0.3,,,,,,,0.5,0.5,1,1,0.7,1.5,,0.5,1.8,0.5,,0.5,1,1,1.5,1.5,1.5,0.8,0.3,,,1,1.5,,1,1,1,1.5,1,1.5,1,1
CAMBIO EMPAQUE CULATA,1,1.5,1.5,1.5,2.5,1,1,1.5,1.5,1.5,3,1.5,1.5,1.5,1,1,1,1,1,1,1,1,1,1.5,1,2.3,2.3,2,2.3,2.5,1,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,,1.5,1,1,,,2,2.5,2.5,2.5,2.2,3,1,1,1,1,3.0,1,1.5,1.5,3,3,3.5,2,1,1,1,3,3,1,2.5,2,2.5,3,2.5,3,2.5,2.5
CAMBIO EMPAQUE CILINDRO,1.5,2,2,2,2.5,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2.5,2,3.1,3.1,2.8,3,3.3,2,2.3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,,2,2,2,2,2,2.5,3,3,3,2.7,3.5,1.8,2,3,2,3.5,2,2,2,3,3,4,2.8,2,2,2,3.5,3.5,2,3,2.5,3,3.5,3,3.5,3,3
CAMBIO SELLOS DE VÁLVULAS,,2.0,2.0,2,2.5,2,2,2.0,2,2,3,2,2.0,2.0,2,2,2,2.5,2.5,2,2,2,2,2.5,2,2.8,2.8,2.5,3,3,2,2.3,2,2,2,2,2,2.5,2.5,2,2.5,2,2,2,2,2,2,2,2,3,3,,2,1.7,,2,2,3,3,3,3,2.7,4,2,2,3,2,3.7,2,2,2,3,3,3.5,2.5,2,2,2,3,3.5,2,3,5.2,3,4,3,4,3,3
CAMBIO DE GUIAS DE VALVULAS ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,2,2,,2,2,3.2,3.5,3.5,3.5,3.2,4,2,2,3,,4,,,,,,3.5,,,,,3.5,3,,3.5,3,3.5,4,3.5,4,3.5,3.5
CAMBIO DE CILINDRO CON OPERACIÓN EN LA CULATA (CAMBIO SELLOS.RESORTES. ETC),1.5,2.5,2.5,2.5,3,2.5,2.5,2.5,2.5,2.5,3.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3,2.5,4.3,4.3,4,4.3,4.5,2.5,2.8,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.5,3.5,4,2.5,2.5,2.5,2.5,2.5,3.2,3.5,3.5,3.5,3.2,5,2.5,2.5,3,3,4,3,2.5,2.5,3.5,3.5,5,4,2.5,2.5,2.5,3.5,3.5,2.5,3.5,3,3.5,5,3.5,5,3.5,3.5
CAMBIO DE VARILLAS IMPULSADORAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.5,,2.5,,,,,,,,,,,,,,,,,,,,
CAMBIO DE  LEVAS IMPULSORAS INFERIORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
CAMBIO DE PIÑÓN DE DISTRIBUCIÓN SUPERIOR,,,,,,0.8,0.8,,,,,,,,0.8,0.8,0.8,0.7,0.7,1.5,1.5,1.5,1.5,2,2,2.3,2.3,2,2.2,2.5,1.5,1.7,0.7,0.7,1.5,0.5,0.5,7,0.7,0.7,0.7,0.5,0.7,0.7,0.7,0.7,0.5,0.7,0.7,1.5,1,,1.5,0.8,,0.5,0.5,1.2,1.5,1.5,1.5,1.2,3,1.5,1,,,0.6,,,,,,2,2,0.8,0.8,0.8,1.5,1.5,0.8,1.5,1.5,1.5,3,1.5,3,1.5,1.5
CAMBIO DE GUÍAS DE CADENILLA,,3,3,3,4,2,2,3,3,3,4.5,3,3,3,2,2,2,2,2,2,2,2,2,2.5,3.5,3.8,3.8,3.5,3.8,4,2,2.3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,,2,2,,2,2,3.2,3.5,3.5,3.5,3.2,4,2.5,2,,,3.7,,3,3,4,4,3.5,3.5,2,2,2,3.5,4,2,3.5,3.5,3.5,4,3.5,4,3.5,3.5
CAMBIO Y/O REVISION DE TENSOR DE CADENILLA,,1.5,1.5,1.5,1,0.5,0.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0.5,0.5,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.5,1.3,1.3,1.1,0.8,1.6,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,0.8,1,,0.3,0.3,1,1,1,1,1,0.5,0.5,0.3,,,0.4,,1.5,1.5,1.5,1.5,1,1.1,0.5,0.5,0.5,1,1.5,0.5,1,1,1,0.4,1,0.4,1,1
CAMBIO DE PIÑÓN DESLIZADOR DE CADENILLA,,,,,,1,1,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,1,1,1,,,1,,,,,,,,
CAMBIO PIÑÓN TENSOR CADENILLA,,,,,,1,1,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,1,,,1,,,,,,,,
CAMBIO LEVA PIÑÓN TENSOR CADENILLA,,,,,,1,1,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,1,,,1,,,,,,,,
CAMBIO BUJIA (C/U),0.1,0.4,0.4,0.4,0.5,0.1,0.1,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,,0.1,0.1,0.1,0.1,0.1,0.5,1,1,1,0.1,1.3,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.4,0.4,0.5,0.5,0.3,0.1,0.1,0.1,0.5,0.5,0.1,0.2,0.2,1.2,1.3,1.2,1.3,1.2,1.2
CAMBIO Y/O REPARACION DEL CONDUCTO BUJIA RH,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.5,0.3,0.3,,,0.3,,,0.3,0.3,0.3,0.3,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,
CAMBIO  O´RING DEL CONDUCTO GUIA DE LA BUJIA RH,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.8,0.3,0.3,,,0.3,,,0.3,0.3,0.3,0.3,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,
CAMBIO Y/O REPARACION DEL BUJE SOPORTE CULATIN CHASIS,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBIO  DE LOS RESORTES VALVULAS,,2,2,2,2.5,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2.5,2.5,2.8,2.8,2.5,2.8,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,,2,1.7,,2,2,2.7,3,3,3,2.7,4,2,2,3,2,3.7,2,2,2,3,3,3.5,2.5,2,2,2,3,3.5,2,3,2.5,3,4,3,4,3,3
CAMBIO Y/O REPARCION DEL DESCOMPRESIONADOR,,,,,,1,,,,,,,,,1,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,1.5,,,,,,,,,,,,,,0.8,,,,,,,,,1,1,,,1,,,,,,,,
SISTEMA DE ENTRADA DEL AIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMPIAR Y LUBRICACION DEL FILTRO DE AIRE,0.3,0.3,0.3,0.3,0.3,0.5,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.5,0.5,0.3,0.3,0.3,0.3,0.3,0.3,,,,,,,,333,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,,,,,0.3,0.3,,,,,,,,,
CAMBIO CAJA FILTRO,0.4,0.4,0.4,0.4,0.4,1,1,0.4,0.4,0.4,0.5,0.4,0.4,0.4,1,1,1,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.8,1.8,1.5,1.8,2,0.3,0.3,0.3,0.3,0.3,1,1,0.3,0.3,0.3,0.3,1,1,1,1,1,1,1,1,0.4,0.4,,0.7,1,0.3,0.3,0.3,0.5,0.3,0.3,0.3,0.3,1,0.5,0.3,0.3,1,0.8,1,0.4,0.4,0.5,0.4,0.7,1.5,0.5,0.1,0.1,1.5,0.5,0.1,1,1.2,1.5,1.2,1.5,1.2,1.5,1.6
CAMBIO DE FILTRO DE AIRE,0.3,0.3,0.3,0.3,0.3,0.5,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.5,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.7,0.5,0.8,0.8,0.5,0.8,1,1.5,1.5,1,1,1.5,0.3,0.3,1.5,1.5,1.5,1.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.5,,0.7,1,2,2,2,0.3,1,1,1,1,1.3,1,1,2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.25,0.5,1,0.3,0.3,0.5,0.3,0.3,0.3,0.3,0.2,1,0.2,1,0.2,1.4
